nct_id,title,status,start_date,completion_date,phase,enrollment,study_type,sponsor,sponsor_class,fda_regulated
NCT04204564,VISION and VQI Paclitaxel Safety Analysis,UNKNOWN,2012-10-01,2020-06-01,,20000,OBSERVATIONAL,University of Vermont Medical Center,OTHER,True
NCT03870087,PRECISION GRX Post-Market Study - Japan,COMPLETED,2019-04-12,2020-10-09,,242,OBSERVATIONAL,Corindus Inc.,INDUSTRY,True
NCT01873898,Clinical Investigation of the Rex Medical -Closer™ Vascular Closure System -Reduced Time to Ambulation Trial,COMPLETED,2013-06,2013-07,NA,30,INTERVENTIONAL,Rex Medical,INDUSTRY,True
NCT06739239,French COhoRte Extra-Vascular Implantable CardiovErter DefibrillatoR,RECRUITING,2024-02-01,2030-12-31,,1000,OBSERVATIONAL,Paris Sudden Death Expertise Center,OTHER,True
NCT04630171,VerTouch Device: A Prospective Randomized Controlled Trial,COMPLETED,2021-01-01,2023-11-29,NA,86,INTERVENTIONAL,Northwestern University,OTHER,True
NCT06038929,Effect of Vagal Nerve Stimulation on Gastric Motor Functions,RECRUITING,2025-09-01,2027-12-30,NA,16,INTERVENTIONAL,Mayo Clinic,OTHER,True
NCT03437928,DBS for Depression,RECRUITING,2019-08-20,2026-08-19,NA,12,INTERVENTIONAL,Baylor College of Medicine,OTHER,True
NCT04758611,The ETCHES I Study (Endovascular Treatment of Communicating Hydrocephalus With an Endovascular Shunt),ACTIVE_NOT_RECRUITING,2020-10-01,2028-01-07,NA,20,INTERVENTIONAL,CereVasc Inc,INDUSTRY,True
NCT04259411,MitraClip China PMS,COMPLETED,2021-12-06,2025-03-07,NA,51,INTERVENTIONAL,Abbott Medical Devices,INDUSTRY,True
NCT06876311,"Observational Study to Evaluate the STALIF® C FLX, STALIF® M FLX, STALIF® L FLX Cages and FORTOS-C®",ACTIVE_NOT_RECRUITING,2025-03-04,2025-05-30,,100,OBSERVATIONAL,Silony Medical GmbH,INDUSTRY,True
NCT03400787,Latera RCT - Latera vs. Sham Control for Lateral Nasal Valve Collapse,COMPLETED,2017-11-28,2020-12-23,NA,137,INTERVENTIONAL,"Spirox, Inc.",INDUSTRY,True
NCT06257056,Deep Brain Stimulation for Psychosis,RECRUITING,2024-04-03,2027-04,NA,10,INTERVENTIONAL,Bradley Lega,OTHER,True
NCT03189303,Cup Position in THA With Standard Instruments,COMPLETED,2017-09-07,2021-12-14,,183,OBSERVATIONAL,DePuy Orthopaedics,INDUSTRY,True
NCT07010029,Coronary Sinus Reducer in Patients With Angina With no Obstructive Coronary Disease,RECRUITING,2025-05-12,2027-08,NA,50,INTERVENTIONAL,Medical University of Warsaw,OTHER,True
NCT04103749,Global Prospective Case Series Using a Single-Use Duodenoscope,COMPLETED,2021-03-22,2023-01-05,NA,551,INTERVENTIONAL,Boston Scientific Corporation,INDUSTRY,True
