company,year,metric,value_usd,value_bn
Abbott,2016,Revenue,20853000000,20.853
Abbott,2017,Revenue,6335000000,6.335
Abbott,2017,Revenue,6637000000,6.637
Abbott,2017,Revenue,6829000000,6.829
Abbott,2017,Revenue,27390000000,27.39
Abbott,2017,Revenue,27390000000,27.39
Abbott,2017,Revenue,7589000000,7.589
Abbott,2018,Revenue,7390000000,7.39
Abbott,2018,Revenue,7390000000,7.39
Abbott,2018,Revenue,7767000000,7.767
Abbott,2018,Revenue,7767000000,7.767
Abbott,2018,Revenue,7656000000,7.656
Abbott,2018,Revenue,7656000000,7.656
Abbott,2018,Revenue,30578000000,30.578
Abbott,2018,Revenue,30578000000,30.578
Abbott,2018,Revenue,30578000000,30.578
Abbott,2018,Revenue,7765000000,7.765
Abbott,2018,Revenue,7765000000,7.765
Abbott,2019,Revenue,7535000000,7.535
Abbott,2019,Revenue,7979000000,7.979
Abbott,2019,Revenue,8076000000,8.076
Abbott,2019,Revenue,31904000000,31.904
Abbott,2019,Revenue,31904000000,31.904
Abbott,2019,Revenue,31904000000,31.904
Abbott,2019,Revenue,8314000000,8.314
Abbott,2020,Revenue,34608000000,34.608
Abbott,2020,Revenue,34608000000,34.608
Abbott,2020,Revenue,34608000000,34.608
Abbott,2021,Revenue,43075000000,43.075
Abbott,2021,Revenue,43075000000,43.075
Abbott,2021,Revenue,43075000000,43.075
Abbott,2022,Revenue,43653000000,43.653
Abbott,2022,Revenue,43653000000,43.653
Abbott,2022,Revenue,43653000000,43.653
Abbott,2023,Revenue,40109000000,40.109
Abbott,2023,Revenue,40109000000,40.109
Abbott,2023,Revenue,40109000000,40.109
Abbott,2024,Revenue,41950000000,41.95
Abbott,2024,Revenue,41950000000,41.95
Abbott,2025,Revenue,44328000000,44.328
Abbott,2015,NetIncome,2292000000,2.292
Abbott,2015,NetIncome,2292000000,2.292
Abbott,2015,NetIncome,784000000,0.784
Abbott,2015,NetIncome,784000000,0.784
Abbott,2015,NetIncome,580000000,0.58
Abbott,2015,NetIncome,580000000,0.58
Abbott,2015,NetIncome,4423000000,4.423
Abbott,2015,NetIncome,4423000000,4.423
Abbott,2015,NetIncome,4423000000,4.423
Abbott,2015,NetIncome,767000000,0.767
Abbott,2015,NetIncome,767000000,0.767
Abbott,2016,NetIncome,316000000,0.316
Abbott,2016,NetIncome,316000000,0.316
Abbott,2016,NetIncome,615000000,0.615
Abbott,2016,NetIncome,615000000,0.615
Abbott,2016,NetIncome,-329000000,-0.329
Abbott,2016,NetIncome,-329000000,-0.329
Abbott,2016,NetIncome,1400000000,1.4
Abbott,2016,NetIncome,1400000000,1.4
Abbott,2016,NetIncome,1400000000,1.4
Abbott,2016,NetIncome,798000000,0.798
Abbott,2016,NetIncome,798000000,0.798
Abbott,2017,NetIncome,419000000,0.419
Abbott,2017,NetIncome,419000000,0.419
Abbott,2017,NetIncome,283000000,0.283
Abbott,2017,NetIncome,283000000,0.283
Abbott,2017,NetIncome,603000000,0.603
Abbott,2017,NetIncome,603000000,0.603
Abbott,2017,NetIncome,477000000,0.477
Abbott,2017,NetIncome,477000000,0.477
Abbott,2017,NetIncome,477000000,0.477
Abbott,2017,NetIncome,-828000000,-0.828
Abbott,2017,NetIncome,-828000000,-0.828
Abbott,2018,NetIncome,418000000,0.418
Abbott,2018,NetIncome,418000000,0.418
Abbott,2018,NetIncome,733000000,0.733
Abbott,2018,NetIncome,733000000,0.733
Abbott,2018,NetIncome,563000000,0.563
Abbott,2018,NetIncome,563000000,0.563
Abbott,2018,NetIncome,2368000000,2.368
Abbott,2018,NetIncome,2368000000,2.368
Abbott,2018,NetIncome,2368000000,2.368
Abbott,2018,NetIncome,654000000,0.654
Abbott,2018,NetIncome,654000000,0.654
Abbott,2019,NetIncome,672000000,0.672
Abbott,2019,NetIncome,1006000000,1.006
Abbott,2019,NetIncome,960000000,0.96
Abbott,2019,NetIncome,3687000000,3.687
Abbott,2019,NetIncome,3687000000,3.687
Abbott,2019,NetIncome,3687000000,3.687
Abbott,2019,NetIncome,1049000000,1.049
Abbott,2020,NetIncome,4495000000,4.495
Abbott,2020,NetIncome,4495000000,4.495
Abbott,2020,NetIncome,4495000000,4.495
Abbott,2021,NetIncome,7071000000,7.071
Abbott,2021,NetIncome,7071000000,7.071
Abbott,2021,NetIncome,7071000000,7.071
Abbott,2022,NetIncome,6933000000,6.933
Abbott,2022,NetIncome,6933000000,6.933
Abbott,2022,NetIncome,6933000000,6.933
Abbott,2023,NetIncome,5723000000,5.723
Abbott,2023,NetIncome,5723000000,5.723
Abbott,2023,NetIncome,5723000000,5.723
Abbott,2024,NetIncome,13402000000,13.402
Abbott,2024,NetIncome,13402000000,13.402
Abbott,2025,NetIncome,6524000000,6.524
Abbott,2017,R&D,2260000000,2.26
Abbott,2018,R&D,2300000000,2.3
Abbott,2018,R&D,2300000000,2.3
Abbott,2019,R&D,2440000000,2.44
Abbott,2019,R&D,2440000000,2.44
Abbott,2019,R&D,2440000000,2.44
Abbott,2020,R&D,2420000000,2.42
Abbott,2020,R&D,2420000000,2.42
Abbott,2020,R&D,2420000000,2.42
Abbott,2021,R&D,2742000000,2.742
Abbott,2021,R&D,2742000000,2.742
Abbott,2021,R&D,2742000000,2.742
Abbott,2022,R&D,2888000000,2.888
Abbott,2022,R&D,2888000000,2.888
Abbott,2022,R&D,2888000000,2.888
Abbott,2023,R&D,2741000000,2.741
Abbott,2023,R&D,2741000000,2.741
Abbott,2023,R&D,2741000000,2.741
Abbott,2024,R&D,2844000000,2.844
Abbott,2024,R&D,2844000000,2.844
Abbott,2025,R&D,2942000000,2.942
Stryker,2016,Revenue,11325000000,11.325
Stryker,2017,Revenue,2955000000,2.955
Stryker,2017,Revenue,3012000000,3.012
Stryker,2017,Revenue,3006000000,3.006
Stryker,2017,Revenue,12444000000,12.444
Stryker,2017,Revenue,12444000000,12.444
Stryker,2017,Revenue,3471000000,3.471
Stryker,2018,Revenue,3241000000,3.241
Stryker,2018,Revenue,3241000000,3.241
Stryker,2018,Revenue,3322000000,3.322
Stryker,2018,Revenue,3322000000,3.322
Stryker,2018,Revenue,3242000000,3.242
Stryker,2018,Revenue,3242000000,3.242
Stryker,2018,Revenue,13601000000,13.601
Stryker,2018,Revenue,13601000000,13.601
Stryker,2018,Revenue,13601000000,13.601
Stryker,2018,Revenue,3796000000,3.796
Stryker,2018,Revenue,3796000000,3.796
Stryker,2019,Revenue,3516000000,3.516
Stryker,2019,Revenue,3516000000,3.516
Stryker,2019,Revenue,3650000000,3.65
Stryker,2019,Revenue,3650000000,3.65
Stryker,2019,Revenue,3587000000,3.587
Stryker,2019,Revenue,3587000000,3.587
Stryker,2019,Revenue,14884000000,14.884
Stryker,2019,Revenue,14884000000,14.884
Stryker,2019,Revenue,14884000000,14.884
Stryker,2019,Revenue,4131000000,4.131
Stryker,2019,Revenue,4131000000,4.131
Stryker,2020,Revenue,3588000000,3.588
Stryker,2020,Revenue,3588000000,3.588
Stryker,2020,Revenue,2764000000,2.764
Stryker,2020,Revenue,2764000000,2.764
Stryker,2020,Revenue,3737000000,3.737
Stryker,2020,Revenue,3737000000,3.737
Stryker,2020,Revenue,14351000000,14.351
Stryker,2020,Revenue,14351000000,14.351
Stryker,2020,Revenue,14351000000,14.351
Stryker,2020,Revenue,4262000000,4.262
Stryker,2020,Revenue,4262000000,4.262
Stryker,2021,Revenue,3953000000,3.953
Stryker,2021,Revenue,3953000000,3.953
Stryker,2021,Revenue,4294000000,4.294
Stryker,2021,Revenue,4294000000,4.294
Stryker,2021,Revenue,4160000000,4.16
Stryker,2021,Revenue,4160000000,4.16
Stryker,2021,Revenue,17108000000,17.108
Stryker,2021,Revenue,17108000000,17.108
Stryker,2021,Revenue,17108000000,17.108
Stryker,2021,Revenue,4701000000,4.701
Stryker,2021,Revenue,4701000000,4.701
Stryker,2022,Revenue,4275000000,4.275
Stryker,2022,Revenue,4275000000,4.275
Stryker,2022,Revenue,4493000000,4.493
Stryker,2022,Revenue,4493000000,4.493
Stryker,2022,Revenue,4479000000,4.479
Stryker,2022,Revenue,4479000000,4.479
Stryker,2022,Revenue,18449000000,18.449
Stryker,2022,Revenue,18449000000,18.449
Stryker,2022,Revenue,18449000000,18.449
Stryker,2022,Revenue,5202000000,5.202
Stryker,2022,Revenue,5202000000,5.202
Stryker,2023,Revenue,4778000000,4.778
Stryker,2023,Revenue,4778000000,4.778
Stryker,2023,Revenue,4996000000,4.996
Stryker,2023,Revenue,4996000000,4.996
Stryker,2023,Revenue,4909000000,4.909
Stryker,2023,Revenue,4909000000,4.909
Stryker,2023,Revenue,20498000000,20.498
Stryker,2023,Revenue,20498000000,20.498
Stryker,2023,Revenue,20498000000,20.498
Stryker,2023,Revenue,5815000000,5.815
Stryker,2023,Revenue,5815000000,5.815
Stryker,2024,Revenue,5243000000,5.243
Stryker,2024,Revenue,5243000000,5.243
Stryker,2024,Revenue,5422000000,5.422
Stryker,2024,Revenue,5422000000,5.422
Stryker,2024,Revenue,5494000000,5.494
Stryker,2024,Revenue,5494000000,5.494
Stryker,2024,Revenue,22595000000,22.595
Stryker,2024,Revenue,22595000000,22.595
Stryker,2024,Revenue,6436000000,6.436
Stryker,2024,Revenue,6436000000,6.436
Stryker,2025,Revenue,5866000000,5.866
Stryker,2025,Revenue,6022000000,6.022
Stryker,2025,Revenue,6057000000,6.057
Stryker,2025,Revenue,25116000000,25.116
Stryker,2025,Revenue,7171000000,7.171
Stryker,2015,NetIncome,224000000,0.224
Stryker,2015,NetIncome,224000000,0.224
Stryker,2015,NetIncome,392000000,0.392
Stryker,2015,NetIncome,392000000,0.392
Stryker,2015,NetIncome,301000000,0.301
